Nstudy,Study,YearStudy,Age,Name,Forest.cov,MeanHabitat,BGroupOverall,BGroupBRealm,BGroupBiome,BGroupContIsla,nAi,nAk,Ai,Ak,RRR,nSi,nSk,Dissim,Sim_S_toOGF,Sor_in_OGF,RRS,StudyTaxa,Ntaxa,Taxa,Country,Continent_Island,Site,Biogeographic_realms,Nbiome,Biome,Mean_Longitude,Mean_Latitude,Mean_Elevation,Mean_Rainfall,Matrix_Means,Matrix,Ndist,Previous_Use,Methods,MeanMet,N,Gamma,List,Data,MeanData,Moist_Forest_specialist,p.ForSpec,InSpp,p.In,SDSpp,p.SD,GrSpp,p.Gr,PrSpp,p.Pr,PoSpp,p.Po,ScSpp,p.Sc,GzSpp,p.Gz
9,DeSouza_etal,2008,5,9.DeSouza_etal.2008.5,YSF,mean.SUC1.SUC2.SUC3,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,3,3,4.3,4.67,-0.082544049,3,3,0.500,0.571,0.742,-0.262,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,1,0.23255814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DeSouza_etal,2008,5,9.DeSouza_etal.2008.5,YSF,mean.SUC1.SUC2.SUC3,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,3,3,4.3,4.67,-0.082544049,3,3,0.333,0.571,0.742,-0.262,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,2,0.465116279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DeSouza_etal,2008,5,9.DeSouza_etal.2008.5,YSF,mean.SUC1.SUC2.SUC3,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,3,3,4.3,4.67,-0.082544049,3,3,0.455,0.571,0.742,-0.262,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,1,0.23255814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DeSouza_etal,2008,NA,9.DeSouza_etal.2008.NA,OGF,mean.MAT1.MAT2.MAT3,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,3,3,4.67,4.67,0,3,3,0.500,0.742,0.742,0.000,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,5,U,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,1,0.214132762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DeSouza_etal,2008,NA,9.DeSouza_etal.2008.NA,OGF,mean.MAT1.MAT2.MAT3,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,3,3,4.67,4.67,0,3,3,0.273,0.742,0.742,0.000,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,5,U,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,2,0.428265525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DeSouza_etal,2008,NA,9.DeSouza_etal.2008.NA,OGF,mean.MAT1.MAT2.MAT3,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,3,3,4.67,4.67,0,3,3,0.000,0.742,0.742,0.000,9,1,Amphibians,Brazil,Continent,Reserva_Experimental_Catuaba,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-67,-10,214,1973,2,Fragmented,5,U,ALP,Amphibian_Litterplots,9,27,Yes,A,Abundance,1,0.214132762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Woinarski_etal,2009,0,10.Woinarski_etal.2009.0,ES,Cleared,AmphibiansES,AustralasiaAmphibiansES,3.TropGrSSAmphibiansES,ContinentAmphibiansES,1,1,7,7,0,1,1,0.143,0.857,1.000,-0.154,10,1,Amphibians,Australia,Continent,Daly_River,Australasia,3.TropGrSS,Tropical_and_Subtropical_Grasslands_Savannas_and_Shrublands,132,-14,100,1200,3,Mixed,3,P,LPF,Litter_Pitfall,3,8,Yes,A,Abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Woinarski_etal,2009,35,10.Woinarski_etal.2009.35,MSF,Regrowth,AmphibiansMSF,AustralasiaAmphibiansMSF,3.TropGrSSAmphibiansMSF,ContinentAmphibiansMSF,1,1,4,7,-0.559615788,1,1,0.273,0.727,1.000,-0.318,10,1,Amphibians,Australia,Continent,Daly_River,Australasia,3.TropGrSS,Tropical_and_Subtropical_Grasslands_Savannas_and_Shrublands,132,-14,100,1200,3,Mixed,3,P,LPF,Litter_Pitfall,3,8,Yes,A,Abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Woinarski_etal,2009,NA,10.Woinarski_etal.2009.NA,OGF,Intact_Forest,AmphibiansOGF,AustralasiaAmphibiansOGF,3.TropGrSSAmphibiansOGF,ContinentAmphibiansOGF,1,1,7,7,0,1,1,0.000,1.000,1.000,0.000,10,1,Amphibians,Australia,Continent,Daly_River,Australasia,3.TropGrSS,Tropical_and_Subtropical_Grasslands_Savannas_and_Shrublands,132,-14,100,1200,3,Mixed,5,U,LPF,Litter_Pitfall,3,8,Yes,A,Abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Herrera_and_Brokaw,2010,0,11.Herrera_and_Brokaw.2010.0,ES,Pasture,AmphibiansES,NeotropicAmphibiansES,1.TropMoAmphibiansES,IslandAmphibiansES,1,1,4,4,0,1,1,0.250,0.750,1.000,-0.288,11,1,Amphibians,Puerto_Rico,Island,Surround_El_Yunque_National_Park,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-65,18,180,4000,2,Fragmented,1,CA,AVT,Amphibian_Visual_Transect,4,6,Yes,A,Abundance,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Herrera_and_Brokaw,2010,3,11.Herrera_and_Brokaw.2010.3,YSF,Young,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,IslandAmphibiansYSF,1,1,4,4,0,1,1,0.000,1.000,1.000,0.000,11,1,Amphibians,Puerto_Rico,Island,Surround_El_Yunque_National_Park,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-65,18,180,4000,2,Fragmented,1,CA,AVT,Amphibian_Visual_Transect,4,6,Yes,A,Abundance,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Herrera_and_Brokaw,2010,15,11.Herrera_and_Brokaw.2010.15,MSF,Intermediate,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,IslandAmphibiansMSF,1,1,5,4,0.223143551,1,1,0.111,0.889,1.000,-0.118,11,1,Amphibians,Puerto_Rico,Island,Surround_El_Yunque_National_Park,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-65,18,180,4000,2,Fragmented,1,CA,AVT,Amphibian_Visual_Transect,4,6,Yes,A,Abundance,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Herrera_and_Brokaw,2010,40,11.Herrera_and_Brokaw.2010.40,OGF,Advanced_used_as_Ref,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,IslandAmphibiansOGF,1,1,4,4,0,1,1,0.000,1.000,1.000,0.000,11,1,Amphibians,Puerto_Rico,Island,Surround_El_Yunque_National_Park,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-65,18,180,4000,2,Fragmented,1,U,AVT,Amphibian_Visual_Transect,4,6,Yes,A,Abundance,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,13,12.Hilje_and_Aide.2012.13,YSF,mean.Bejuco.J_Enriquez.LG6,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,3,3,11,12,-0.087011377,3,3,0.385,0.603,0.777,-0.254,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,2,0.181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,13,12.Hilje_and_Aide.2012.13,YSF,mean.Bejuco.J_Enriquez.LG6,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,3,3,11,12,-0.087011377,3,3,0.241,0.603,0.777,-0.254,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,3,0.272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,13,12.Hilje_and_Aide.2012.13,YSF,mean.Bejuco.J_Enriquez.LG6,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,3,3,11,12,-0.087011377,3,3,0.565,0.603,0.777,-0.254,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,1,0.090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,20,12.Hilje_and_Aide.2012.20,MSF,mean.Arrozal.LG16.STR2450,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,10.3,12,-0.152762755,3,3,0.429,0.540,0.777,-0.364,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,5,0.485436893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,20,12.Hilje_and_Aide.2012.20,MSF,mean.Arrozal.LG16.STR2450,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,10.3,12,-0.152762755,3,3,0.619,0.540,0.777,-0.364,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,1,0.097087379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,20,12.Hilje_and_Aide.2012.20,MSF,mean.Arrozal.LG16.STR2450,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,10.3,12,-0.152762755,3,3,0.333,0.540,0.777,-0.364,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,2,0.194174757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,26,12.Hilje_and_Aide.2012.26,MSF,mean.LG5.LOC600.Tirimbina,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,8.33,12,-0.365043194,3,3,0.636,0.483,0.777,-0.475,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,1,0.120048019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,26,12.Hilje_and_Aide.2012.26,MSF,mean.LG5.LOC600.Tirimbina,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,8.33,12,-0.365043194,3,3,0.455,0.483,0.777,-0.475,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,26,12.Hilje_and_Aide.2012.26,MSF,mean.LG5.LOC600.Tirimbina,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,8.33,12,-0.365043194,3,3,0.462,0.483,0.777,-0.475,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,4,0.480192077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,42,12.Hilje_and_Aide.2012.42,MSF,mean.Botarrama.Aceituno.Manu,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,11.67,12,-0.027885203,3,3,0.333,0.675,0.777,-0.141,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,2,0.171379606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,42,12.Hilje_and_Aide.2012.42,MSF,mean.Botarrama.Aceituno.Manu,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,11.67,12,-0.027885203,3,3,0.333,0.675,0.777,-0.141,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,3,0.257069409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,42,12.Hilje_and_Aide.2012.42,MSF,mean.Botarrama.Aceituno.Manu,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,3,3,11.67,12,-0.027885203,3,3,0.308,0.675,0.777,-0.141,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,2,0.171379606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,NA,12.Hilje_and_Aide.2012.NA,OGF,mean.Selvaverde.SJ1700,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,3,3,12,12,0,3,3,0.360,0.777,0.777,0.000,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,5,U,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,3,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,NA,12.Hilje_and_Aide.2012.NA,OGF,mean.Selvaverde.SJ1700,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,3,3,12,12,0,3,3,0.308,0.777,0.777,0.000,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,5,U,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,3,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Hilje_and_Aide,2012,NA,12.Hilje_and_Aide.2012.NA,OGF,mean.Selvaverde.SJ1700,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,3,3,12,12,0,3,3,0.000,0.777,0.777,0.000,12,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,5,U,AVT_AA,Amphibian_Visual_Transect_and_Acoustic,15,29,Yes,P,Presence,3,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Hernandez_etal,2015,2,13.Hernandez_etal.2015.2,YSF,1_2yr_PA_GI_PU,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,1,8,18,-0.810930216,1,1,0.692,0.308,1.000,-1.179,13,1,Amphibians,Mexico,Continent,Biosphere_Reserve_of_Montes_Azules,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-91,16,210,3000,2,Fragmented,1,CA,AVT,Amphibian_Visual_Transect,5,25,Yes,A,Abundance,1,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Hernandez_etal,2015,6,13.Hernandez_etal.2015.6,YSF,4_7yr_R0_R1_F1,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,1,10,18,-0.587786665,1,1,0.500,0.500,1.000,-0.693,13,1,Amphibians,Mexico,Continent,Biosphere_Reserve_of_Montes_Azules,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-91,16,210,3000,2,Fragmented,1,CA,AVT,Amphibian_Visual_Transect,5,25,Yes,A,Abundance,1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Hernandez_etal,2015,12,13.Hernandez_etal.2015.12,YSF,9_14_GU_F4_SA,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,1,10,18,-0.587786665,1,1,0.429,0.571,1.000,-0.560,13,1,Amphibians,Mexico,Continent,Biosphere_Reserve_of_Montes_Azules,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-91,16,210,3000,2,Fragmented,1,CA,AVT,Amphibian_Visual_Transect,5,25,Yes,A,Abundance,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Hernandez_etal,2015,21,13.Hernandez_etal.2015.21,MSF,17_23yr_H17a_HU_H17b,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,1,1,14,18,-0.251314428,1,1,0.375,0.625,1.000,-0.470,13,1,Amphibians,Mexico,Continent,Biosphere_Reserve_of_Montes_Azules,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-91,16,210,3000,2,Fragmented,1,CA,AVT,Amphibian_Visual_Transect,5,25,Yes,A,Abundance,2,0.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Hernandez_etal,2015,NA,13.Hernandez_etal.2015.NA,OGF,OGF_S1_LO_RU,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,1,1,18,18,0,1,1,0.000,1.000,1.000,0.000,13,1,Amphibians,Mexico,Continent,Biosphere_Reserve_of_Montes_Azules,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-91,16,210,3000,2,Fragmented,5,U,AVT,Amphibian_Visual_Transect,5,25,Yes,A,Abundance,7,0.388888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Suazo_etal,2015,0,14.Suazo_etal.2015.0,ES,Pasture,AmphibiansES,NeotropicAmphibiansES,2.TropDryAmphibiansES,ContinentAmphibiansES,1,1,11,7,0.451985124,1,1,0.556,0.444,1.000,-0.811,14,1,Amphibians,Mexico,Continent,Chamela_Cuixmala_Biosphere_Reserve,Neotropic,2.TropDry,Tropical_and_Subtropical_Dry_Broadleaf_Forest,-105,19,150,788,3,Mixed,1,CA,AVT,Amphibian_Visual_Transect,5,14,Yes,P,Presence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Suazo_etal,2015,5,14.Suazo_etal.2015.5,YSF,Early_Sstage,AmphibiansYSF,NeotropicAmphibiansYSF,2.TropDryAmphibiansYSF,ContinentAmphibiansYSF,1,1,8,7,0.133531393,1,1,0.333,0.667,1.000,-0.405,14,1,Amphibians,Mexico,Continent,Chamela_Cuixmala_Biosphere_Reserve,Neotropic,2.TropDry,Tropical_and_Subtropical_Dry_Broadleaf_Forest,-105,19,150,788,3,Mixed,1,CA,AVT,Amphibian_Visual_Transect,5,14,Yes,P,Presence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Suazo_etal,2015,9,14.Suazo_etal.2015.9,YSF,Young_forest_Sstage,AmphibiansYSF,NeotropicAmphibiansYSF,2.TropDryAmphibiansYSF,ContinentAmphibiansYSF,1,1,10,7,0.356674944,1,1,0.294,0.706,1.000,-0.348,14,1,Amphibians,Mexico,Continent,Chamela_Cuixmala_Biosphere_Reserve,Neotropic,2.TropDry,Tropical_and_Subtropical_Dry_Broadleaf_Forest,-105,19,150,788,3,Mixed,1,CA,AVT,Amphibian_Visual_Transect,5,14,Yes,P,Presence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Suazo_etal,2015,15,14.Suazo_etal.2015.15,MSF,Intermediate_forest_Sstage,AmphibiansMSF,NeotropicAmphibiansMSF,2.TropDryAmphibiansMSF,ContinentAmphibiansMSF,1,1,9,7,0.251314428,1,1,0.375,0.625,1.000,-0.470,14,1,Amphibians,Mexico,Continent,Chamela_Cuixmala_Biosphere_Reserve,Neotropic,2.TropDry,Tropical_and_Subtropical_Dry_Broadleaf_Forest,-105,19,150,788,3,Mixed,1,CA,AVT,Amphibian_Visual_Transect,5,14,Yes,P,Presence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Suazo_etal,2015,NA,14.Suazo_etal.2015.NA,OGF,Old_Growth_Forest,AmphibiansOGF,NeotropicAmphibiansOGF,2.TropDryAmphibiansOGF,ContinentAmphibiansOGF,1,1,7,7,0,1,1,0.000,1.000,1.000,0.000,14,1,Amphibians,Mexico,Continent,Chamela_Cuixmala_Biosphere_Reserve,Neotropic,2.TropDry,Tropical_and_Subtropical_Dry_Broadleaf_Forest,-105,19,150,788,3,Mixed,5,U,AVT,Amphibian_Visual_Transect,5,14,Yes,P,Presence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Cortes_etal,2013,3,15.Cortes_etal.2013.3,YSF,Abandoned_Mixed_Farming,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,1,20,22,-0.09531018,1,1,0.381,0.619,1.000,-0.480,15,1,Amphibians,Colombia,Continent,Upper_and_Middle_Dagua_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-76,3,415,6600,1,Continuous_Forest,1,CA,AVT,Amphibian_Visual_Transect,3,32,Yes,A,Abundance,11,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Cortes_etal,2013,40,15.Cortes_etal.2013.40,OGF,Mature_forest,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,1,1,22,22,0,1,1,0.000,1.000,1.000,0.000,15,1,Amphibians,Colombia,Continent,Upper_and_Middle_Dagua_River,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-76,3,415,6600,1,Continuous_Forest,5,U,AVT,Amphibian_Visual_Transect,3,32,Yes,A,Abundance,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Lieberman,1986,20,16.Lieberman.1986.20,MSF,Disturbed_ecosystem,ReptilesMSF,NeotropicReptilesMSF,1.TropMoReptilesMSF,ContinentReptilesMSF,1,1,17,15,0.125163143,1,1,0.375,0.625,1.000,-0.470,1,2,Reptiles,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,RLP,Reptiles_Litterplots,2,22,Yes,A,Abundance,10,0.588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
